Loading...,Voivodeships,Districts,Terytorial Code,14D Total Deaths / 10000,7D AVR Infections / 10000,(% ) Booster Dose,Date - Booster Dose,Population / 10000,t14,t13,t12,t11,t10,t9,t8,t7,t6,t5,t4,t3,t2,t1,t
2023-05-01,łódzkie,Opoczyński,1007,0.00,0.04,26.19,2023-04-29,7.55,0.11,0.13,0.13,0.11,0.09,0.07,0.07,0.06,0.04,0.02,0.06,0.04,0.04,0.04,0.04
2023-05-01,łódzkie,Pabianicki,1008,0.00,0.08,47.39,2023-04-29,11.89,0.29,0.34,0.29,0.20,0.18,0.18,0.18,0.18,0.13,0.15,0.14,0.12,0.08,0.08,0.08
2023-05-01,łódzkie,Pajęczański,1009,0.00,0.06,20.85,2023-04-29,5.10,0.11,0.11,0.11,0.11,0.08,0.11,0.11,0.11,0.11,0.09,0.09,0.09,0.09,0.06,0.06
2023-05-01,łódzkie,Piotrkowski,1010,0.11,0.08,19.42,2023-04-29,9.12,0.16,0.22,0.20,0.14,0.11,0.13,0.13,0.11,0.05,0.03,0.05,0.08,0.08,0.08,0.08
2023-05-01,łódzkie,Poddębicki,1011,0.00,0.00,32.27,2023-04-29,4.09,0.03,0.07,0.10,0.07,0.07,0.07,0.07,0.07,0.03,0.00,0.00,0.00,0.00,0.00,0.00
2023-05-01,łódzkie,Radomszczański,1012,0.00,0.03,31.72,2023-04-29,11.17,0.13,0.12,0.10,0.08,0.23,0.20,0.22,0.22,0.22,0.18,0.18,0.03,0.03,0.03,0.03
2023-05-01,łódzkie,Rawski,1013,0.00,0.18,22.44,2023-04-29,4.84,0.27,0.24,0.21,0.12,0.03,0.03,0.03,0.03,0.09,0.12,0.15,0.18,0.18,0.18,0.18
2023-05-01,łódzkie,Sieradzki,1014,0.00,0.03,31.33,2023-04-29,11.69,0.09,0.10,0.11,0.10,0.11,0.09,0.09,0.09,0.09,0.07,0.07,0.05,0.05,0.05,0.03
2023-05-01,łódzkie,Skierniewicki,1015,0.00,0.00,14.50,2023-04-29,3.82,0.15,0.19,0.19,0.22,0.22,0.11,0.11,0.15,0.11,0.11,0.07,0.04,0.04,0.04,0.00
2023-05-01,łódzkie,Tomaszowski,1016,0.00,0.07,31.71,2023-04-29,11.57,0.20,0.23,0.11,0.09,0.11,0.12,0.14,0.16,0.14,0.15,0.15,0.11,0.11,0.10,0.07
2023-05-01,łódzkie,Wieluński,1017,0.00,0.04,36.28,2023-04-29,7.57,0.02,0.04,0.02,0.04,0.06,0.06,0.06,0.06,0.04,0.06,0.04,0.04,0.04,0.04,0.04
2023-05-01,łódzkie,Wieruszowski,1018,0.00,0.00,30.30,2023-04-29,4.20,0.07,0.17,0.14,0.14,0.14,0.10,0.10,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2023-05-01,łódzkie,Zduńskowolski,1019,0.00,0.02,33.73,2023-04-29,6.61,0.17,0.19,0.11,0.06,0.02,0.04,0.04,0.04,0.02,0.04,0.04,0.04,0.02,0.02,0.02
2023-05-01,łódzkie,Zgierski,1020,0.00,0.02,37.05,2023-04-29,16.59,0.14,0.18,0.14,0.12,0.09,0.09,0.08,0.06,0.02,0.02,0.02,0.02,0.02,0.02,0.02
2023-05-01,łódzkie,Brzeziński,1021,0.00,0.00,33.85,2023-04-29,3.06,0.28,0.28,0.23,0.05,0.05,0.00,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.00,0.00
2023-05-01,łódzkie,Łódź,1061,0.00,0.04,57.78,2023-04-29,67.22,0.15,0.18,0.13,0.12,0.11,0.10,0.10,0.10,0.08,0.07,0.06,0.05,0.05,0.04,0.04
